train_acc,test_acc
0.8723,0.8653
0.85645,0.8422
0.85285,0.8697
0.91925,0.929
0.9424166666666667,0.9375
0.9507833333333333,0.9386
0.9538833333333333,0.941
0.9575166666666667,0.9408
0.9589666666666666,0.946
0.9607833333333333,0.9475
0.96275,0.9483
0.9627666666666667,0.9492
0.96545,0.9509
0.9647,0.9496
0.9648666666666667,0.9523
0.9657666666666667,0.952
0.966,0.9539
0.9658833333333333,0.9541
0.9667833333333333,0.9517
0.9664,0.9508
0.9671833333333333,0.9537
0.96685,0.952
0.96805,0.9528
0.9679166666666666,0.9524
0.9679833333333333,0.9547
0.96765,0.9531
0.96865,0.9539
0.9684,0.955
0.9678333333333333,0.9542
0.9690166666666666,0.9551
0.9678666666666667,0.9589
0.97,0.9577
0.9686,0.9543
0.9691166666666666,0.958
0.9689833333333333,0.955
0.9692666666666667,0.9553
0.9697666666666667,0.9545
0.9689333333333333,0.9545
0.9701666666666666,0.9552
0.9706333333333333,0.9566
0.96885,0.9563
