train_acc,test_acc
0.8674,0.862
0.8901333333333333,0.9034
0.9357,0.9306
0.95525,0.9448
0.9625833333333333,0.9509
0.96555,0.9551
0.9674333333333334,0.9542
0.96875,0.956
0.9693,0.959
0.9702666666666667,0.9541
0.9703833333333334,0.9592
0.9720833333333333,0.957
0.9718166666666667,0.9585
0.9720166666666666,0.9596
0.9713,0.9587
0.9731333333333333,0.9571
0.9724,0.9609
0.9740833333333333,0.96
0.97415,0.9599
0.9736833333333333,0.9593
0.9745666666666667,0.9603
0.9734166666666667,0.9589
0.9749,0.9604
0.9751666666666666,0.9605
0.9748666666666667,0.9602
0.9754,0.9597
0.97525,0.9604
0.97535,0.9603
0.9749166666666667,0.9586
0.9758333333333333,0.9594
0.9757333333333333,0.9614
0.9752666666666666,0.9605
0.9753833333333334,0.958
0.9758666666666667,0.9585
0.9764833333333334,0.9656
0.9753833333333334,0.9603
0.9765,0.962
0.9766333333333334,0.962
0.9763833333333334,0.9604
0.9760666666666666,0.9603
0.9775166666666667,0.9631
