train_acc,test_acc
0.09508333333333334,0.092
0.9037666666666667,0.9475
0.9662833333333334,0.9655
0.9770833333333333,0.9728
0.9842333333333333,0.9793
0.9882166666666666,0.9752
0.9913,0.9801
0.9926833333333334,0.9735
0.9932666666666666,0.98
0.9961833333333333,0.9798
0.99575,0.9794
0.9944333333333333,0.9808
0.9971666666666666,0.9829
0.9957833333333334,0.9818
0.9952166666666666,0.9812
0.9953833333333333,0.9808
0.9958166666666667,0.9831
0.9986,0.9796
0.99745,0.9815
0.9971,0.9801
0.9980833333333333,0.979
0.9959,0.981
0.9969333333333333,0.9804
0.9978833333333333,0.9802
0.9953,0.982
0.9981666666666666,0.9826
0.99775,0.9829
0.99765,0.9788
0.9968666666666667,0.9774
0.99545,0.9823
0.9961,0.9816
