train_acc,test_acc
0.9910833333333333,0.9716
0.9935666666666667,0.9834
0.99725,0.9832
0.99925,0.9862
0.99975,0.9857
0.9998,0.986
0.9998333333333334,0.9861
0.9998833333333333,0.9852
0.9998833333333333,0.9847
0.9998833333333333,0.9847
0.9998666666666667,0.9844
0.99985,0.9835
0.9998,0.9833
0.9997333333333334,0.9836
0.99965,0.9831
0.99935,0.9814
0.9988166666666667,0.9818
0.9985333333333334,0.9806
0.9976,0.9797
0.9964833333333334,0.9803
0.9945333333333334,0.9781
0.9924166666666666,0.9777
0.9902166666666666,0.9771
0.9861333333333333,0.9743
0.9823333333333333,0.9717
0.9780666666666666,0.9682
0.9733166666666667,0.9637
0.96655,0.959
0.9596,0.954
0.9486833333333333,0.941
0.9359333333333333,0.9275
