train_acc,test_acc
0.8674,0.862
0.8667166666666667,0.8623
0.86865,0.8591
0.8743333333333333,0.8652
0.8743666666666666,0.8685
0.8744833333333333,0.8655
0.8785,0.8677
0.88095,0.8741
0.88135,0.8746
0.8837333333333334,0.871
0.8861166666666667,0.8775
0.88705,0.8787
0.8913,0.8809
0.8914166666666666,0.8857
0.8925333333333333,0.882
0.89665,0.8876
0.8952333333333333,0.8915
0.9000833333333333,0.8937
0.90075,0.8909
0.9018666666666667,0.8903
0.90455,0.8906
0.9049833333333334,0.8925
0.9037666666666667,0.8943
0.9058833333333334,0.8928
0.9065166666666666,0.8972
0.9073,0.8985
0.9088166666666667,0.8978
0.90985,0.9016
0.9095333333333333,0.9012
0.9123166666666667,0.8974
0.9121833333333333,0.9044
0.91195,0.904
0.9127333333333333,0.9014
0.9149833333333334,0.9034
0.9145166666666666,0.906
0.9163,0.9064
0.9169666666666667,0.9032
0.9176,0.906
0.9176,0.9085
0.9177333333333333,0.9016
0.91955,0.9087
